RSU_ID,Tier,Vehicles_Served,Computations,Cache_Hit_Rate,Avg_Latency_MS,Warnings_Issued,Routes_Computed,Emergencies_Handled
RSU_E1_0_TIER2,2,74,74,0.00%,0.00,197,0,6
RSU_E2_0_TIER2,2,104,104,0.00%,0.00,304,0,9
RSU_E3_0_TIER2,2,91,91,0.00%,0.00,243,0,6
RSU_E4_0_TIER2,2,49,49,0.00%,0.00,116,0,4
RSU_E5_0_TIER2,2,106,106,0.00%,0.00,223,0,10
RSU_E6_0_TIER2,2,106,106,0.00%,0.00,257,0,10
RSU_E7_0_TIER2,2,93,93,0.00%,0.00,174,0,6
RSU_E8_0_TIER2,2,94,94,0.00%,0.00,227,0,6
RSU_GAP0_TIER3,3,110,110,0.00%,0.00,215,0,10
RSU_GAP1_TIER3,3,49,49,0.00%,0.00,90,0,4
RSU_GAP2_TIER3,3,49,49,0.00%,0.00,112,0,4
RSU_J0_TIER1,1,108,108,0.00%,0.00,259,0,10
RSU_J1_TIER1,1,96,96,0.00%,0.00,218,0,6
