pkt_id,src,rsu,gen_time,enq_time,start_tx,end_tx,rx_time,success,reason,size_bits
pkt_56,emergency_1,rsu_0,16.1,16.1,16.1,16.100409785577998,16.100409785577998,True,ok,8192
pkt_58,test_vehicle_3,rsu_1,16.1,16.1,16.1,16.10040989945615,16.10040989945615,True,ok,8192
pkt_59,test_vehicle_4,rsu_18,16.1,16.1,16.1,16.100409886965878,16.100409886965878,True,ok,8192
pkt_57,flow_ew_j2.0,rsu_0,16.1,16.1,16.2,16.200409659300455,16.200409659300455,True,ok,8192
pkt_60,test_vehicle_1,rsu_1,16.3,16.3,16.3,16.30040968910116,16.30040968910116,True,ok,8192
pkt_61,test_vehicle_2,rsu_13,16.3,16.3,16.3,16.30040981239167,16.30040981239167,True,ok,8192
pkt_62,emergency_1,rsu_0,17.1,17.1,17.1,17.10040983315824,17.10040983315824,True,ok,8192
pkt_64,test_vehicle_3,rsu_1,17.1,17.1,17.1,17.10040985293478,17.10040985293478,True,ok,8192
pkt_65,test_vehicle_4,rsu_19,17.1,17.1,17.1,17.10040992991785,17.10040992991785,True,ok,8192
pkt_63,flow_ew_j2.0,rsu_0,17.1,17.1,17.2,17.20040969751971,17.20040969751971,True,ok,8192
pkt_66,test_vehicle_1,rsu_1,17.3,17.3,17.3,17.30040964043274,17.30040964043274,True,ok,8192
pkt_67,test_vehicle_2,rsu_13,17.3,17.3,17.3,17.300409769169967,17.300409769169967,True,ok,8192
pkt_68,emergency_1,rsu_0,18.1,18.1,18.1,18.10040988075601,18.10040988075601,True,ok,8192
pkt_70,test_vehicle_3,rsu_1,18.1,18.1,18.1,18.100409806464626,18.100409806464626,True,ok,8192
pkt_71,test_vehicle_4,rsu_19,18.1,18.1,18.1,18.100409879940045,18.100409879940045,True,ok,8192
pkt_69,flow_ew_j2.0,rsu_0,18.1,18.1,18.2,18.20040973571356,18.20040973571356,True,ok,8192
pkt_72,test_vehicle_1,rsu_1,18.3,18.3,18.3,18.30040961035146,18.30040961035146,True,ok,8192
pkt_73,test_vehicle_2,rsu_13,18.3,18.3,18.3,18.30040972598152,18.30040972598152,True,ok,8192
pkt_74,emergency_1,rsu_0,19.1,19.1,19.1,19.10040992837212,19.10040992837212,True,ok,8192
pkt_76,test_vehicle_3,rsu_1,19.1,19.1,19.1,19.10040975994908,19.10040975994908,True,ok,8192
pkt_77,test_vehicle_4,rsu_19,19.1,19.1,19.1,19.10040983006932,19.10040983006932,True,ok,8192
pkt_75,flow_ew_j2.0,rsu_0,19.1,19.1,19.2,19.200409773921923,19.200409773921923,True,ok,8192
pkt_78,test_vehicle_1,rsu_1,19.3,19.3,19.3,19.300409657927744,19.300409657927744,True,ok,8192
