timestamp,bs_id,vehicle_id,packet_type,size_bytes
173.0,J2,emergency_5,emergency_encrypted,656
174.0,J2,emergency_4,emergency_encrypted,640
174.0,J2,emergency_5,emergency_encrypted,656
175.0,J2,emergency_4,emergency_encrypted,640
175.0,J2,emergency_5,emergency_encrypted,656
176.0,J2,emergency_4,emergency_encrypted,640
176.0,J2,emergency_5,emergency_encrypted,656
177.0,J2,emergency_4,emergency_encrypted,640
177.0,J2,emergency_5,emergency_encrypted,656
177.0,J2,emergency_flow.0,emergency_encrypted,664
178.0,J2,emergency_4,emergency_encrypted,656
178.0,J2,emergency_5,emergency_encrypted,656
178.0,J2,emergency_flow.0,emergency_encrypted,664
179.0,J2,emergency_4,emergency_encrypted,660
179.0,J2,emergency_5,emergency_encrypted,656
179.0,J2,emergency_flow.0,emergency_encrypted,664
180.0,J2,emergency_4,emergency_encrypted,656
180.0,J2,emergency_flow.0,emergency_encrypted,660
181.0,J2,emergency_4,emergency_encrypted,656
181.0,J2,emergency_flow.0,emergency_encrypted,664
182.0,J2,emergency_4,emergency_encrypted,656
182.0,J2,emergency_flow.0,emergency_encrypted,664
183.0,J2,emergency_4,emergency_encrypted,656
183.0,J2,emergency_flow.0,emergency_encrypted,664
184.0,J2,emergency_4,emergency_encrypted,656
184.0,J2,emergency_flow.0,emergency_encrypted,664
185.0,J2,emergency_4,emergency_encrypted,656
185.0,J2,emergency_flow.0,emergency_encrypted,664
186.0,J2,emergency_4,emergency_encrypted,656
186.0,J2,emergency_flow.0,emergency_encrypted,664
187.0,J2,emergency_4,emergency_encrypted,656
187.0,J2,emergency_flow.0,emergency_encrypted,664
188.0,J2,emergency_4,emergency_encrypted,656
188.0,J2,emergency_flow.0,emergency_encrypted,664
189.0,J2,emergency_4,emergency_encrypted,656
189.0,J2,emergency_flow.0,emergency_encrypted,664
190.0,J2,emergency_4,emergency_encrypted,656
190.0,J2,emergency_flow.0,emergency_encrypted,664
191.0,J2,emergency_4,emergency_encrypted,656
191.0,J2,emergency_flow.0,emergency_encrypted,664
192.0,J2,emergency_flow.0,emergency_encrypted,664
193.0,J2,emergency_flow.0,emergency_encrypted,664
194.0,J2,emergency_flow.0,emergency_encrypted,664
195.0,J2,emergency_flow.0,emergency_encrypted,664
196.0,J2,emergency_flow.0,emergency_encrypted,664
197.0,J2,emergency_flow.0,emergency_encrypted,664
198.0,J2,emergency_flow.0,emergency_encrypted,664
199.0,J2,emergency_flow.0,emergency_encrypted,664
209.0,J3,emergency_4,emergency_encrypted,656
210.0,J3,emergency_4,emergency_encrypted,656
211.0,J3,emergency_4,emergency_encrypted,656
212.0,J3,emergency_4,emergency_encrypted,656
213.0,J3,emergency_4,emergency_encrypted,656
213.0,J2,emergency_6,emergency_encrypted,652
214.0,J3,emergency_4,emergency_encrypted,656
214.0,J2,emergency_6,emergency_encrypted,660
214.0,J3,emergency_flow.0,emergency_encrypted,664
215.0,J3,emergency_4,emergency_encrypted,656
215.0,J2,emergency_6,emergency_encrypted,656
215.0,J3,emergency_flow.0,emergency_encrypted,664
216.0,J3,emergency_4,emergency_encrypted,656
216.0,J2,emergency_6,emergency_encrypted,656
216.0,J3,emergency_flow.0,emergency_encrypted,664
217.0,J3,emergency_4,emergency_encrypted,656
217.0,J2,emergency_6,emergency_encrypted,660
217.0,J3,emergency_flow.0,emergency_encrypted,664
218.0,J3,emergency_4,emergency_encrypted,656
218.0,J2,emergency_6,emergency_encrypted,660
218.0,J3,emergency_flow.0,emergency_encrypted,664
219.0,J3,emergency_4,emergency_encrypted,656
219.0,J2,emergency_6,emergency_encrypted,660
219.0,J3,emergency_flow.0,emergency_encrypted,664
220.0,J3,emergency_4,emergency_encrypted,656
220.0,J2,emergency_6,emergency_encrypted,660
220.0,J3,emergency_flow.0,emergency_encrypted,660
221.0,J3,emergency_4,emergency_encrypted,660
221.0,J2,emergency_6,emergency_encrypted,660
221.0,J3,emergency_flow.0,emergency_encrypted,664
222.0,J3,emergency_4,emergency_encrypted,660
222.0,J2,emergency_6,emergency_encrypted,656
222.0,J3,emergency_flow.0,emergency_encrypted,664
223.0,J3,emergency_4,emergency_encrypted,656
223.0,J2,emergency_6,emergency_encrypted,660
223.0,J3,emergency_flow.0,emergency_encrypted,664
224.0,J3,emergency_4,emergency_encrypted,660
