episode,reward,rolling_avg
284,-39702.5426,-20121.5404
285,63148.8656,289.6514
286,-105049.9923,-10431.5069
287,112851.0544,9258.0622
288,-45900.6183,-3523.9866
289,83240.9276,-198.7057
290,21086.6645,7319.7119
291,65521.6400,11471.1375
292,44467.6998,10933.7868
293,11849.2859,21151.2985
294,-46502.5061,20471.3021
295,-3735.0306,13782.9125
296,81812.1539,32469.1271
297,80487.6490,29232.7866
298,-44738.3294,29349.0155
299,-84300.5152,12594.8712
300,-7978.2661,9688.3781
301,-87395.3344,-5603.3193
302,-103001.7794,-20350.2673
303,132504.5354,-8284.7423
304,74267.5616,3792.2645
305,-51907.8027,-1025.0127
306,-61704.7735,-15376.7055
307,-25865.5877,-26012.0292
308,32253.2797,-18312.8682
309,-88497.8393,-18732.6006
310,38689.1937,-14065.8547
311,-111896.5564,-16515.9769
312,74749.2820,1259.1293
313,155056.1930,3514.2950
314,43553.6769,442.9066
315,-1139.0574,5519.7811
316,-81823.6981,3507.8886
317,-20023.3570,4092.1117
318,-61806.5378,-5313.8700
319,-83412.1741,-4805.3035
320,41220.3078,-4552.1921
321,-76308.2647,-993.3629
322,7607.5281,-7707.5383
323,21739.0184,-21039.2558
324,-3352.1391,-25729.8374
325,-1548.5034,-25770.7820
326,-100975.0564,-27685.9178
327,-44964.4418,-30180.0263
328,9261.3875,-23073.2338
329,37107.4052,-11021.2758
330,-111587.1147,-26302.0181
331,112111.4658,-7460.0450
332,-50389.1057,-13259.7084
333,146586.9215,-774.9181
334,163924.8031,15952.7761
335,66934.0342,22801.0299
336,62352.7678,39133.8123
337,67754.1155,50405.6680
338,-43051.5409,45174.3752
339,23617.1294,43825.3476
340,8905.5289,55874.6120
341,-889.5563,44574.5098
342,91306.2830,58744.0486
343,-104012.4531,33684.1112
344,-103757.4248,6915.8884
345,148513.6518,15073.8501
346,66294.3301,15468.0064
347,5336.4126,9226.2361
348,-118543.0255,1677.0876
349,28627.4880,2178.1235
350,-28093.8851,-1521.8179
351,121996.2970,10766.7674
352,40203.7544,5656.5145
353,-109580.6741,5099.6924
354,79692.4192,23444.6768
355,14922.0008,10085.5117
356,83763.0483,11832.3836
357,49674.8174,16266.2240
358,-88383.7653,19282.1501
359,122915.3216,28710.9334
360,-56092.9136,25911.0306
361,-88077.9021,4903.6107
362,130432.5602,13926.4912
363,-84660.2150,16418.5371
364,52705.7844,13719.8737
365,-46688.0375,7558.8698
366,-81694.2866,-8986.8636
367,-7559.4271,-14710.2881
368,101507.0081,4278.7893
369,-113417.9762,-19354.5405
370,12432.7397,-12501.9752
371,130487.4804,9354.5631
372,-55606.6334,-9249.3563
373,25648.2104,1781.4862
374,113500.2554,7860.9333
375,-98700.6517,2659.6719
376,98913.4963,20720.4502
377,-24507.0642,19025.6865
378,-37410.0506,5133.9806
379,-85900.5329,7885.7249
380,-33681.0829,3274.3427
381,-30411.6191,-12815.5673
382,-73055.5403,-14560.4580
383,19758.9458,-15149.3844
384,831.9705,-26416.2129
385,-46404.3084,-21186.5786
386,-103153.3508,-41393.2633
387,105859.8664,-28356.5702
388,150912.1425,-9524.3509
389,-64432.6842,-7377.5660
390,28150.8538,-1194.3724
391,40618.3327,5908.6228
392,-29954.7323,10218.7036
393,18569.1858,10099.7276
394,-83484.3900,1668.0916
395,10013.2027,7309.8427
396,-36385.3525,13986.6425
397,-1284.1784,3272.2380
398,113936.8262,-425.2936
399,26849.8202,8702.9568
400,28874.5401,8775.3255
401,-61775.8868,-1464.0965
402,-53903.8294,-3859.0062
403,-82167.0675,-13932.6315
404,132627.9934,7678.6068
405,243238.4736,31001.1339
406,-30725.6946,31567.0997
407,-2424.2456,31453.0930
408,4109.2117,20470.3315
409,-24578.4985,15327.4996
410,-60316.1621,6408.4294
411,60663.2841,18652.3465
412,52476.8130,29290.4108
413,-36988.1486,33808.3026
414,-58186.5200,14726.8513
415,-74457.4697,-17042.7430
416,50670.4067,-8903.1329
417,-47006.5880,-13361.3671
418,234088.7757,9636.5893
419,-16155.1331,10478.9258
420,200040.8553,36514.6275
421,-75913.9456,22856.9046
422,-7538.2527,16855.3980
423,-65536.3788,14000.5750
424,-46813.5754,15137.8694
425,-32681.4655,19315.4699
426,36107.1782,17859.1470
427,66005.8726,29160.3931
428,-24287.9841,3322.7171
429,-86164.6236,-3678.2320
430,11649.0659,-22517.4109
431,-88171.7022,-23743.1866
432,-96421.8223,-32631.5435
433,65424.9422,-19535.4114
434,-129052.8815,-27759.3420
435,-62471.5596,-30738.3514
436,4566.0135,-33892.4679
437,-48276.9881,-45320.7540
438,31825.3108,-39709.4245
439,-62324.7661,-37325.4387
440,10549.3902,-37435.4063
441,-27265.0971,-31344.7458
442,-60934.8200,-27796.0456
443,-37111.8785,-38049.7276
444,-38544.9676,-28998.9362
445,-73409.1623,-30092.6965
446,117786.2655,-18770.6713
447,-87601.7549,-22703.1480
448,-25323.7687,-28418.0560
449,-29982.6864,-25183.8480
450,-100177.1223,-36256.4992
451,-97096.8276,-43239.6723
452,-37018.0592,-40847.9962
453,-102555.1120,-47392.3196
454,-87738.0608,-52311.6289
455,89054.9618,-36065.2165
456,-31651.8958,-51009.0326
457,-6353.9486,-42884.2520
458,-67803.5376,-47132.2288
459,-10032.9155,-45137.2517
460,15466.0599,-33572.9335
461,-140298.1311,-37893.0639
462,-25063.3012,-36697.5881
463,-42437.6135,-30685.8382
464,99048.4459,-12007.1876
465,-77422.3959,-28654.9233
466,68283.1158,-18661.4222
467,-62872.2328,-24313.2506
468,77182.5092,-9814.6459
469,-21987.6707,-11010.1215
470,18893.0761,-10667.4198
471,24917.2835,5854.1216
472,69278.2091,15288.2727
473,-48133.4832,14718.6857
474,61075.6626,10921.4074
475,106538.9393,29317.5409
476,-83786.3822,14110.5911
477,38157.4484,24213.5592
478,-39345.4221,12560.7661
479,-1691.1279,14590.4204
480,18961.2539,14597.2381
481,-43549.3927,7750.5705
482,-155544.7684,-14731.7272
483,8936.9179,-9024.6871
484,-3038.1857,-15436.0719
485,-30923.4473,-29182.3106
486,-35139.6135,-24317.6337
487,55232.9645,-22610.0821
488,-89945.9684,-27670.1368
489,-129153.7479,-40416.3988
490,-10088.9872,-43321.4229
491,-56642.1457,-44630.6982
492,-28517.8231,-31928.0036
493,-9825.2090,-33804.2163
494,-67830.6259,-40283.4604
495,-54911.2653,-42682.2422
496,40604.8659,-35107.7942
497,81273.2583,-32503.7648
498,27120.9632,-20797.0717
499,53921.7796,-2489.5189
500,-67151.9254,-8195.8127
